               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061964,            0.055523,           0.0089349,             0.83037,              0.7251,             0.81279,             0.45838,            0.035869,            0.028564,           0.0032137,            0.070023,           0.0033308,           0.0033308
                   1,            0.047585,            0.049031,           0.0048316,             0.86653,             0.74723,             0.84829,             0.54002,            0.030068,            0.027084,           0.0026806,            0.039803,           0.0064442,           0.0064442
                   2,            0.043108,            0.048059,           0.0042942,             0.85931,             0.73395,             0.83126,             0.55803,            0.028677,            0.027401,           0.0024286,            0.009363,           0.0093376,           0.0093376
                   3,            0.039558,            0.046689,           0.0039785,             0.87681,             0.73731,             0.84172,             0.57254,            0.026401,            0.026851,           0.0022699,             0.00901,             0.00901,             0.00901
                   4,            0.036791,            0.045176,           0.0036614,             0.87633,             0.75486,             0.85242,             0.58914,            0.025527,              0.0262,           0.0020989,             0.00901,             0.00901,             0.00901
                   5,            0.034996,            0.043959,           0.0034509,             0.87869,             0.75819,             0.85735,             0.59893,            0.024589,            0.025872,           0.0020733,             0.00868,             0.00868,             0.00868
                   6,            0.033979,               0.043,           0.0032809,             0.88137,              0.7757,             0.86777,             0.61656,            0.023869,            0.025176,           0.0018632,             0.00835,             0.00835,             0.00835
                   7,            0.033195,            0.042209,           0.0030955,             0.87477,             0.75058,             0.85064,             0.60426,            0.024376,            0.026476,           0.0020184,             0.00802,             0.00802,             0.00802
                   8,            0.032597,            0.041908,           0.0030833,             0.87437,             0.78083,             0.87066,             0.62058,            0.023539,            0.025226,           0.0018705,             0.00769,             0.00769,             0.00769
                   9,            0.032066,            0.041182,           0.0029702,              0.8786,             0.77489,             0.86828,             0.62795,            0.022983,             0.02464,           0.0019301,             0.00736,             0.00736,             0.00736
                  10,            0.031639,            0.040758,           0.0029274,             0.88492,             0.76908,             0.86605,             0.62893,            0.022558,            0.024347,           0.0018311,             0.00703,             0.00703,             0.00703
                  11,            0.031227,            0.040409,            0.002854,             0.88122,             0.77606,             0.86684,             0.62912,            0.022687,            0.024786,           0.0018275,              0.0067,              0.0067,              0.0067
                  12,            0.030826,            0.040005,           0.0027823,             0.88621,             0.77599,             0.86983,             0.63195,            0.022664,            0.024579,           0.0018366,             0.00637,             0.00637,             0.00637
                  13,            0.030466,              0.0396,           0.0027317,             0.89218,             0.78482,             0.87567,             0.64207,            0.022042,            0.023971,           0.0017984,             0.00604,             0.00604,             0.00604
                  14,            0.030075,            0.039375,           0.0026738,             0.88549,             0.78851,             0.87578,              0.6443,            0.022039,            0.023885,           0.0017945,             0.00571,             0.00571,             0.00571
                  15,            0.029782,            0.039012,           0.0026185,             0.89334,             0.78366,              0.8774,             0.64542,             0.02206,            0.024021,           0.0017487,             0.00538,             0.00538,             0.00538
                  16,            0.029596,            0.038705,           0.0026181,             0.88785,             0.78972,             0.88122,             0.65112,            0.021688,            0.023743,           0.0017449,             0.00505,             0.00505,             0.00505
                  17,            0.029347,            0.038445,           0.0025538,             0.89675,             0.78088,             0.87759,             0.65074,            0.021613,             0.02359,           0.0018242,             0.00472,             0.00472,             0.00472
                  18,            0.029062,             0.03808,           0.0025062,             0.89487,             0.79607,             0.88308,             0.65378,            0.021424,            0.023355,            0.001701,             0.00439,             0.00439,             0.00439
                  19,            0.028719,            0.037701,           0.0024333,             0.89556,             0.78808,             0.88021,             0.65541,            0.021325,            0.023246,           0.0016666,             0.00406,             0.00406,             0.00406
                  20,            0.028518,            0.037429,           0.0024268,             0.89819,             0.78936,             0.88163,             0.65877,            0.021366,            0.023251,           0.0016842,             0.00373,             0.00373,             0.00373
                  21,            0.028283,            0.037099,           0.0023978,             0.89924,             0.77945,             0.87666,             0.65507,             0.02139,            0.023433,           0.0017664,              0.0034,              0.0034,              0.0034
                  22,            0.028134,            0.036944,           0.0023495,             0.89275,             0.79149,             0.88075,             0.65775,             0.02107,            0.023249,           0.0016823,             0.00307,             0.00307,             0.00307
                  23,            0.027868,            0.036768,           0.0022946,             0.90472,             0.78741,             0.88196,              0.6623,            0.021035,            0.023098,           0.0017113,             0.00274,             0.00274,             0.00274
                  24,            0.027601,            0.036121,           0.0022253,              0.8905,             0.79438,             0.88038,             0.65985,            0.021147,            0.023161,           0.0016718,             0.00241,             0.00241,             0.00241
                  25,            0.027515,            0.036019,           0.0022273,             0.89413,             0.79334,             0.88211,              0.6622,            0.020983,            0.023129,           0.0016598,             0.00208,             0.00208,             0.00208
                  26,            0.027315,            0.035893,           0.0021919,             0.89559,             0.79126,               0.881,             0.66389,            0.020939,            0.022938,           0.0016668,             0.00175,             0.00175,             0.00175
                  27,             0.02707,            0.035561,           0.0021895,             0.89353,             0.79444,             0.88132,             0.66288,             0.02096,            0.023143,           0.0017195,             0.00142,             0.00142,             0.00142
                  28,            0.026906,            0.035467,           0.0021408,             0.89481,             0.79572,             0.88241,             0.66333,            0.020942,            0.023106,            0.001726,             0.00109,             0.00109,             0.00109
                  29,            0.026701,            0.035099,           0.0021059,              0.8926,             0.79729,             0.88039,             0.66328,            0.020958,            0.023243,           0.0017594,             0.00076,             0.00076,             0.00076
